epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.9326,0.96896,2.56919,1.48784,0.00264,1,0.38379,0.2372,0.52503,3.45206,1.24604,0.0001,0.0001,0.0001
2,51.7028,0.71881,1.97809,1.33652,0.00264,1,0.76568,0.53468,0.53612,3.31022,1.26068,0.000215644,0.000215644,0.000215644
3,75.6736,0.78446,1.71833,1.36639,0.00264,1,0.69649,0.4178,0.94954,3.63897,1.76691,0.000326536,0.000326536,0.000326536
4,99.7395,0.72327,1.568,1.29089,0.00264,1,0.65336,0.38501,0.95508,3.55699,1.71687,0.000432676,0.000432676,0.000432676
5,123.57,0.79574,1.50575,1.33113,0.09028,0.84211,0.39781,0.20873,1.16114,3.58357,1.90261,0.000534064,0.000534064,0.000534064
6,147.307,0.8227,1.53727,1.35831,0.70586,0.37973,0.68906,0.30796,1.01595,3.36398,1.84836,0.0006307,0.0006307,0.0006307
7,171.446,0.77266,1.55584,1.35194,0.78951,0.3962,0.70383,0.31601,1.47362,3.41913,2.49133,0.000722584,0.000722584,0.000722584
8,195.19,0.81547,1.52478,1.35371,0.63579,0.55206,0.68079,0.36587,1.33845,3.11688,2.452,0.000809716,0.000809716,0.000809716
9,218.961,0.78636,1.32979,1.31232,0.32532,0.47368,0.3977,0.12404,1.50251,3.85362,2.39319,0.000892096,0.000892096,0.000892096
10,1282.75,0.89568,1.54595,1.39871,0.21221,0.31579,0.15374,0.06604,1.59936,3.93702,2.63648,0.000969724,0.000969724,0.000969724
11,1409.56,0.88865,1.46107,1.42744,0.64378,0.73684,0.6871,0.28301,1.6431,3.31154,3.30168,0.0010426,0.0010426,0.0010426
12,2601.97,0.85611,1.29552,1.29965,0.69335,0.68421,0.6736,0.30578,1.61064,4.12951,3.83645,0.00111072,0.00111072,0.00111072
13,3825.66,0.96859,1.34984,1.4207,0.39668,0.52632,0.43102,0.19415,1.82714,7.63248,5.22457,0.0011741,0.0011741,0.0011741
